InChI Key,SMILES,DrugBank ID,Target uniprot,Target organism,Target actions,Target cellular location,ATC Codes,CAS Number
GZCGUPFRVQAUEE-SLPGGIOYSA-N,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C=O,DB01914,P15587,Streptomyces olivochromogenes,substrate,Cytoplasm,,50-99-7
LUKBXSAWLPMMSZ-OWOJBTEDSA-N,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,DB02709,P02766; P16083; P23219; P68400; P35354; P04798; P08684; P05177; Q16678; P16050; P09917; P35869; Q8TCG2; P08648; P05106; P02768; P05067; P37840; P03372; P48039; P49286; Q86T13; O75469; Q14994; P11166; P16152; Q07869; P37231; P31749; Q92945; P54577,Human,inhibitor; substrate; inducer,Secreted; Cytoplasm; Microsome membrane; Nucleus; Endoplasmic reticulum membrane; Membrane; Cell membrane,,501-36-0
JGFDZZLUDWMUQH-UHFFFAOYSA-N,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,DB04221,P9WPB5,Mycobacterium tuberculosis,,Cytoplasm,,20256-56-8
XBJBPGROQZJDOJ-UHFFFAOYSA-N,CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(CCF)C2=C1F)C(O)=O,DB04576,P11388; P43700; P43702,Human; Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),inhibitor,Cytoplasm; Cell membrane,J01MA08,79660-72-3
ZXIBCJHYVWYIKI-PZJWPPBQSA-N,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCC1=CC=C(C=C1)C(\N)=N\O)C1CCCCC1,DB04898,P00734; P11712,Human,inhibitor; substrate,Secreted; Endoplasmic reticulum membrane,B01AE05,192939-46-1
FBQPGGIHOFZRGH-UHFFFAOYSA-N,CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1,DB04967,P11388; P27695; P11387,Human,inhibitor; intercalation,Cytoplasm; Nucleus,,479-50-5
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2,DB06144,P28223; P28335; P14416; P35348; P35368; P25100; Q12809; P50406; P10635; P08684,Human,antagonist; inhibitor; substrate,Cell membrane; Nucleus membrane; Endoplasmic reticulum membrane,N05AE03,106516-24-9
LWRDQHOZTAOILO-UHFFFAOYSA-N,OP(O)(=O)C(NC1CCCCCC1)P(O)(O)=O,DB06255,,,,,,124351-85-5
OIDGWOIMPADMGM-GXSWRUKYSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CC1=CN=CN1)C(C)C)[C@@H](C)O)[C@H](O)CC)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(O)=O,DB06260,,,,,,40077-57-4
FSKFPVLPFLJRQB-UHFFFAOYSA-N,CC(CN1CCCCC1)C(=O)C1=CC=C(C)C=C1,DB06264,P05177,Human,substrate,Endoplasmic reticulum membrane,M03BX04; M02AX06,728-88-1
YFGHCGITMMYXAQ-LJQANCHMSA-N,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,DB06413,P33261; P08684; P05177; P20813; P20815; P11712; Q01959,Human,inhibitor; inducer; antagonist,Endoplasmic reticulum membrane; Cell membrane,N06BA13,112111-43-0
JUUFBMODXQKSTD-UHFFFAOYSA-N,CCOC(=O)NC1=C(N)N=C(NCC2=CC=C(F)C=C2)C=C1,DB06623,P08913,Human,,Cell membrane,N02BG07,56995-20-1
RSWOJTICKMKTER-QXLBVTBOSA-N,[H]C(C)(OC(=O)N(C)C1=C(COC(=O)CNC)C=CC=N1)[N+]1=CN(C[C@](O)(C2=C(F)C=CC(F)=C2)[C@@]([H])(C)C2=NC(=CS2)C2=CC=C(C=C2)C#N)N=C1,DB06636,P08684; P08183,Human,substrate; inhibitor; inducer,Endoplasmic reticulum membrane; Cell membrane,,742049-41-8
ALFGKMXHOUSVAD-UHFFFAOYSA-N,CCC(=O)C1(CCN(C)CC1)C1=CC(O)=CC=C1,DB06738,P23219; P11712; P08684; O60656; P20813; P33261; P10632; P35372; P41145; P41143; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391,Human,substrate; agonist; antagonist,Microsome membrane; Endoplasmic reticulum membrane; Microsome; Cell membrane,N02AG02; N02AB01,469-79-4
RZOBLYBZQXQGFY-UHFFFAOYSA-N,[NH4+].CC(O)C([O-])=O,DB06768,,,,,,515-98-0
DNMNDNSFJMUUFM-UHFFFAOYSA-N,[Fe+3].[Fe+3].[Fe+3].[Fe+3].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N,DB06783,,,,,V03AB31,14038-43-8
RJMUSRYZPJIFPJ-UHFFFAOYSA-N,OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,DB06803,P11712; P05177,Human,antagonist; substrate; inhibitor,Endoplasmic reticulum membrane,P02DA01,50-65-7
GZZZSOOGQLOEOB-UHFFFAOYSA-N,CN(C(=O)C(Cl)Cl)C1=CC=C(O)C=C1,DB08792,,,,,P01AC01,579-38-4
HXWLAJVUJSVENX-HFIFKADTSA-N,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)C1=CC=C([123I])C=C1)C(=O)OC)N2CCCF,DB08824,Q01959,Human,,Cell membrane,V09AB03,155798-07-5
PMMYEEVYMWASQN-DMTCNVIQSA-N,O[C@H]1CN[C@@H](C1)C(O)=O,DB08847,Q7Z2H8,Human,,Cell membrane,,51-35-4
OSVMTWJCGUFAOD-KZQROQTASA-N,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C,DB08905,,,,,L02BG02,566-48-3
RWRDJVNMSZYMDV-SIUYXFDKSA-L,Cl[223Ra]Cl,DB08913,,,,,,444811-40-9
WFNAKBGANONZEQ-UHFFFAOYSA-N,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,DB08936,P35367,Human,antagonist,Cell membrane,R06AE04,82-93-9
MIZMDSVSLSIMSC-OGLSAIDSSA-N,[H]C1(OC(=O)[C@]([H])(C(C)C)N(C)C(=O)C([H])(OC(=O)[C@]([H])(C(C)C)N(C)C(=O)C([H])(OC(=O)[C@]([H])(C(C)C)N(C)C1=O)C(C)C)C(C)C)C(C)C,DB08965,,,,,R02AB03,1393-87-9
RHAXSHUQNIEUEY-UHFFFAOYSA-N,COC1=CC(C)=NN1C1=NC(C)=CC(OC)=N1,DB08991,,,,,,18694-40-1
GZSOSUNBTXMUFQ-YFAPSIMESA-N,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C=C2O1,DB08995,P35869,Human,agonist,Cytoplasm,C05CA53; C05CA03,520-27-4
QTGIAADRBBLJGA-UHFFFAOYSA-N,CCCNC(C)C(O)=NC1=C(SC=C1C)C(=O)OC,DB09009,,,,,N01BB08; N01BB58,23964-58-1
OJGDCBLYJGHCIH-UHFFFAOYSA-N,CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1,DB09019,,,,,R05CB02,3572-43-8
ANJTVLIZGCUXLD-DTWKUNHWSA-N,O=C1C=CC=C2[C@H]3CNC[C@H](C3)CN12,DB09028,P43681; P36544; P32297; Q15825; P17787,Human,agonist; partial agonist,Cell junction,,485-35-8
VMHWZDULLBLUMS-UHFFFAOYSA-N,COC1=C(OC)C(=O)C(CCCCCCCCCCCCO)=C(C)C1=O,DB09081,,,,,N06BX13,58186-27-9
QSWDMMVNRMROPK-UHFFFAOYSA-K,[Cl-].[Cl-].[Cl-].[Cr+3],DB09129,P06213,Human,activator,Cell membrane,,10025-73-7
IUPNVOAUFBLQME-SGNQUONSSA-J,O.O.[98Tc+4].[O-]P([O-])(=O)CP([O-])([O-])=O,DB09138,,,,,V09BA02,121524-79-6
PHTUQLWOUWZIMZ-GZTJUZNOSA-N,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12,DB09167,P08908; P28223; P10635; P05177; P33261; P11712; P35367; P11229; P08172; P20309; P08173; P08912; P23975; P31645; P35348; P35368; P25100; P08913; P18089; P18825,Human,antagonist; inhibitor,Cell membrane; Endoplasmic reticulum membrane; Membrane; Nucleus membrane,N06AA16,113-53-1
NBRBXGKOEOGLOI-UHFFFAOYSA-N,COC1=C(C=C(C=C1C1=CC2=CC=C(NS(C)(=O)=O)C=C2C=C1)N1C=CC(=O)NC1=O)C(C)(C)C,DB09183,P87764; P10632; P08684; P10635; Q9UNQ0; Q2M3G0,; Human,inhibitor; substrate,Endoplasmic reticulum membrane; Cell membrane,J05AX66; J05AX16,1132935-63-7
YWPHCCPCQOJSGZ-UHFFFAOYSA-N,CCOC1=CC=CC=C1OCC1CNCCO1,DB09185,P23975,Human,inhibitor,Membrane,N06AX09,46817-91-8
BPKUDUSVDVLOPY-UHFFFAOYSA-N,OC1=CC=C(C=C1)C1(OC2=CC=CC=C2NC1=O)C1=CC=C(O)C=C1,DB09219,,,,,A06AB09,17692-24-9
HDOZVRUNCMBHFH-UHFFFAOYSA-N,CN(C)CCOC1=CC2=CC=CC=C2SC2=CC=C(Cl)C=C12,DB09225,,,,,N05AX11,26615-21-4
KJEBULYHNRNJTE-DHZHZOJOSA-N,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC\C=C\C1=CC=CC=C1,DB09232,,,,,C08CA14,132203-70-4
SGMZJAMFUVOLNK-ULWFUOSBSA-M,[Cl-].C[N+](C)([11CH3])CCO,DB09277,,,,,,87591-54-6
AMEROGPZOLAFBN-UHFFFAOYSA-N,CCCCC1=NC(C)=C(CC(=S)N(C)C)C(=O)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,DB09279,P30556,Human,antagonist,Cell membrane,C09CA10,247257-48-3
XLFWDASMENKTKL-UHFFFAOYSA-N,CCOC(=O)[N-]C1=C[N+](=NO1)N1CCOCC1,DB09282,,,,,C01DX12,25717-80-0
AXKPFOAXAHJUAG-UHFFFAOYSA-N,NC(=O)C1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)N1CCCCC1,DB09286,,,,,N05AD05,1893-33-0
QTGAJCQTLIRCFL-UHFFFAOYSA-N,CCN(CC)CC(=O)OC1=CC=C(NC(C)=O)C=C1,DB09288,,,,,N02BE05,66532-85-2
GBECUEIQVRDUKB-UHFFFAOYSA-M,[Cl-].[Tl+],DB09316,,,,,,7791-12-0
FKENQMMABCRJMK-RITPCOANSA-N,[H][C@@]12CC(=O)N1[C@@]([H])(C(O)=O)C(C)(C)S2(=O)=O,DB09324,P00807,Staphylococcus aureus,inhibitor,Cytoplasmic,J01CR50; J01CG01,68373-14-8
DHMYGZIEILLVNR-UHFFFAOYSA-N,O=C1NC=CC(=O)N1.FC1=CN(C2CCCO2)C(=O)NC1=O,DB09327,,,,,,74578-38-4
GGGDNPWHMNJRFN-UHFFFAOYSA-N,CN(C(C)=O)C1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,DB09346,,,,,V08AA02,1949-45-7
FIPWRIJSWJWJAI-UHFFFAOYSA-N,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,DB09350,,,,,,51-03-6
GBKONKCASNNUQD-VGHSCWAPSA-N,O.OS(=O)(=O)C1=CC2=CC=CC=C2C=C1.CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1,DB09396,P08684; P35372; P41145; P41143; P10635; P10632; P11712; P24462,Human,substrate; agonist; inhibitor,Endoplasmic reticulum membrane; Cell membrane,,
ZPWVASYFFYYZEW-UHFFFAOYSA-L,[K+].[K+].OP([O-])([O-])=O,DB09414,P0AAI5,Escherichia coli (strain K12),,,,11/4/7758
PYMYPHUHKUWMLA-VPENINKCSA-N,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,DB09419,,,,,,58-86-6
CDBYLPFSWZWCQE-UHFFFAOYSA-L,[Na+].[Na+].[O-]C([O-])=O,DB09460,P00915; P00918; P22748; Q16790,Human,inhibitor,Cytoplasm; Cell membrane; Nucleus,,497-19-8
PSCMQHVBLHHWTO-FZTWWWDYSA-K,Cl[111In](Cl)Cl,DB09490,,,,,,50800-85-6
MYWUZJCMWCOHBA-SECBINFHSA-N,CN[C@H](C)CC1=CC=CC=C1,DB09571,P10938,Bos taurus,,,,33817-09-3
CAHKINHBCWCHCF-JTQLQIEISA-N,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,DB11102,,,,,,537-55-3
KZBUYRJDOAKODT-UHFFFAOYSA-N,ClCl,DB11109,,,,,,
FZDJSHPVOMNEIF-UHFFFAOYSA-T,[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].O.O.O.O.[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Mo+6].[Mo+6].[Mo+6].[Mo+6].[Mo+6].[Mo+6].[Mo+6],DB11128,,,,,,
VYZAMTAEIAYCRO-BJUDXGSMSA-N,[51Cr],DB11140,,,,,,14392-02-0
RZQNBTMGBODDSK-UWVGGRQHSA-N,CCOC(=O)[C@H](CS)NCCN[C@@H](CS)C(=O)OCC,DB11164,,,,,,
DIZPMCHEQGEION-UHFFFAOYSA-H,[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,DB11239,,,,,,10043-01-3
XMSXQFUHVRWGNA-UHFFFAOYSA-N,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,DB11244,,,,,,
IBGBGRVKPALMCQ-UHFFFAOYSA-N,OC1=CC=C(C=O)C=C1O,DB11268,,,,,,
ICMAWHHKHYZNDA-INIZCTEOSA-N,COC(=O)[C@H](CC(C)C)NC(=O)CCCCCCCCC=C,DB11272,,,,,,
NNBFNNNWANBMTI-UHFFFAOYSA-M,OS([O-])(=O)=O.CCN(CC)C1=CC=C(C=C1)C(C1=CC=CC=C1)=C1C=CC(C=C1)=[N+](CC)CC,DB11279,,,,,,633-03-4
QANMHLXAZMSUEX-UHFFFAOYSA-N,C(NC1=NC=NC2=C1NC=N2)C1=CC=CO1,DB11336,,,,,,525-79-1
PNEYBMLMFCGWSK-UHFFFAOYSA-N,[O--].[O--].[O--].[Al+3].[Al+3],DB11342,,,,,D10AX04,1344-28-1
WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1,DB11703,Q06187,Human,inhibitor,Cytoplasm,,1420477-60-6
HMABYWSNWIZPAG-UHFFFAOYSA-N,CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3,DB12332,P09874; Q9UGN5; Q9Y6F1; P10635; P05177; P08684; P08183; Q9UNQ0; Q96FL8; Q86VL8; O15245; O15439; Q9Y6L6; Q9NPD5; Q4U2R8; Q8TCC7; P20815; P24462; Q9HB55; P33261; P11712; P10632; P22309,Human,antagonist; substrate; inhibitor; inducer; other (add new); Downregulator,Nucleus; Endoplasmic reticulum membrane; Cell membrane; Basolateral cell membrane; Membrane; Microsome,,283173-50-2
BQCADISMDOOEFD-UHFFFAOYSA-N,[Ag],DB12965,,,,,D08AL30,7440-22-4
XUIMIQQOPSSXEZ-UHFFFAOYSA-N,[Si],DB12982,,,,,,7440-21-3
WXNZTHHGJRFXKQ-UHFFFAOYSA-N,OC1=CC=C(Cl)C=C1,DB13154,Q9Y6L6; Q9NPD5; P35499,Human,inhibitor; substrate,Basolateral cell membrane; Membrane,,106-48-9
UAJTZZNRJCKXJN-UHFFFAOYSA-M,[Na+].CCCCCCCCCCCCOC(=O)CS([O-])(=O)=O,DB13157,,,,,A06AG11,1847-58-1
QSKQVZWVLOIIEV-NSHDSACASA-N,C[C@H]1CNCCCN1S(=O)(=O)C1=C2C(F)=CN=CC2=CC=C1,DB13165,Q13464; O75116,Human,inhibitor,Cytoplasm,,223645-67-8
